pump site A;pump site B;pump site C;pump site D
40.7696;47.3919;;21.213
41.0091;47.3919;;21.213
41.0091;47.3919;;21.213
41.0091;47.474;;21.213
41.0091;47.474;;21.213
41.0091;47.474;;21.213
41.3798;47.474;;21.213
41.8207;47.474;;21.213
43.3734;47.474;;21.213
43.4214;47.553;;21.213
43.4214;47.96;;21.213
43.4214;47.97;;21.213
43.4923;48.02;;21.213
43.8831;48.3179;;21.213
44.3229;48.6687;;21.213
44.7228;48.7371;;21.213
44.7228;48.8193;;21.213
44.7228;49.6484;;21.213
45.2889;50.0282;;21.213
45.29;50.1632;;21.213
45.318;51.358;;21.213
45.32;51.479;;21.213
45.701;51.5973;;21.213
46.1659;51.5973;;21.213
46.297;51.7231;;21.213
46.38;51.7231;;21.213
46.786;51.9473;;21.213
47.1073;51.9473;;21.213
47.2226;51.9473;;21.213
47.2226;51.9473;;21.213
47.4724;51.966;;21.213
47.4724;52.1708;;21.213
47.4724;52.3551;;21.213
47.4724;52.4883;;21.213
47.4724;52.8859;;21.213
47.4724;53.039;;21.213
47.4724;53.367;;21.213
47.4724;53.4217;;21.213
47.4724;53.443;;21.213
47.4724;54.7226;;21.213
47.4724;54.9189;;21.213
47.4724;55.0436;;21.213
47.4724;55.0954;;21.213
47.4724;55.0954;;21.213
47.4724;55.98;;21.213
47.4724;56.5285;;21.213
47.4724;56.5285;;21.213
47.4724;56.5285;;21.213
47.4726;56.5285;;21.213
47.6498;57.451;;21.213
47.9378;57.451;;21.213
48.1728;57.7368;;21.213
48.1728;57.74;;21.213
48.1728;57.8492;;21.213
48.1728;57.8492;;21.213
48.1728;57.937;;21.213
48.278;58.469;;21.213
48.6292;58.507;;21.213
48.6292;58.8932;;21.213
48.6292;58.9009;;21.213
48.6292;59.2986;;21.213
48.6292;59.5113;;21.213
48.6292;60.2228;;21.213
48.6292;60.2228;;21.213
48.6292;60.313;;21.213
48.6292;60.36;;21.213
48.6664;60.6627;;21.213
48.7263;62.3371;;21.213
48.8016;62.459;;21.213
48.8016;63.7457;;21.213
48.8442;64.071;;21.213
48.8442;64.6888;;21.213
48.8442;64.6888;;21.213
48.8442;64.781;;21.213
49.0686;65.1272;;21.213
49.0686;65.543;;21.213
49.0859;66.5357;;21.213
49.6862;66.5357;;21.213
49.6862;66.6431;;21.213
49.6862;66.824;;21.213
49.6862;66.937;;21.213
49.6862;67.364;;21.213
49.6862;67.364;;21.213
49.6862;67.4224;;21.213
49.6862;67.4224;;21.213
49.6862;67.809;;21.213
49.6862;67.8541;;21.213
49.7923;67.8541;;21.213
49.8855;68.228;;21.213
49.8855;68.4303;;21.213
49.8855;68.4303;;21.213
49.95;68.925;;21.213
50.3351;69.0482;;21.213
50.3351;69.2372;;21.213
50.3351;69.5834;;21.213
50.3351;69.5834;;21.213
50.3669;70.1061;;21.213
50.4151;70.1061;;21.213
50.4151;70.2837;;21.213
50.4234;72.0258;;21.213
50.5377;72.027;;21.213
50.7566;72.7101;;21.213
50.7771;73.2377;;21.213
50.7771;73.2377;;21.213
50.7771;73.4934;;21.213
50.7771;73.4934;;21.213
50.7771;73.6424;;21.213
50.7771;73.6424;;21.213
50.7771;74.53;;21.213
50.7771;74.664;;21.213
50.7771;74.7103;;21.213
50.7788;75.438;;21.213
51.4053;75.669;;21.213
51.782;75.977;;21.213
52.338;76.3298;;21.213
53.0862;76.5745;;21.213
53.4959;76.5774;;21.213
53.7639;77.325;;21.213
53.7639;79.7265;;21.213
53.7639;80.1659;;21.213
53.7639;80.856;;21.213
53.7639;81.35;;21.213
53.8664;81.3828;;21.213
53.9497;82.388;;21.213
53.9497;82.388;;21.213
53.9497;82.727;;21.213
53.9497;83.694;;21.213
54.46;83.731;;21.213
54.654;84.5209;;21.213
54.7596;86.9231;;21.213
54.8177;86.9231;;21.213
54.8177;87.0365;;21.213
55.2182;87.6917;;21.213
55.4279;89.1713;;21.213
55.7104;89.1713;;21.213
55.824;90.523;;21.213
55.9455;90.585;;21.213
55.9455;92.48;;21.213
55.9455;95.664;;21.213
55.9455;99.312;;21.213
56.0849;102.145;;21.213
56.3634;103.631;;21.213
56.5064;104.2136;;21.213
57.1056;105.051;;21.213
57.3806;107;;21.213
57.9206;110.3908;;21.213
57.9776;110.3908;;21.213
58.3288;113.6212;;21.213
58.3288;113.6212;;21.213
58.7917;116.4649;;21.213
58.9289;116.601;;21.213
59.019;116.65;;21.213
59.2379;117.56;;21.213
59.2529;119.6088;;21.213
59.2744;119.6088;;21.213
59.6047;120.836;;21.213
60.1905;123.7021;;21.213
60.392;127.5761;;21.213
60.7199;128.547;;21.213
61.32;132.987;;21.213
61.5882;139.4766;;21.213
61.6251;139.4766;;21.213
61.8809;143.689;;21.213
61.8809;147.0798;;21.213
61.9313;189.5301;;21.213
62;261.329;;21.213
62;322.687;;21.213
62.3869;350.08;;21.213
62.3869;512.64;;21.213
62.3869;749;;21.213
62.3869;757.6887;;21.213
62.6329;939;;21.213
62.7842;1382;;21.213
62.8704;1494;;21.213
62.9812;;;21.213
63.0277;;;21.213
63.0965;;;21.213
63.6635;;;21.213
63.6998;;;21.213
64.2967;;;21.213
64.2967;;;21.213
64.2967;;;21.213
64.3357;;;21.213
64.4239;;;21.213
64.4239;;;21.213
64.7781;;;21.213
64.8695;;;21.213
64.9974;;;21.213
65.2905;;;21.213
65.4124;;;21.213
65.5061;;;21.213
65.8721;;;21.213
65.8964;;;21.213
66.0591;;;21.213
66.3901;;;21.213
66.699;;;21.213
66.9535;;;21.213
67.0865;;;21.213
67.5213;;;21.213
67.5537;;;21.213
67.5953;;;21.213
67.5953;;;21.213
67.7028;;;21.213
67.74;;;21.213
68.12;;;21.213
68.753;;;21.213
68.7615;;;21.213
69.3077;;;21.213
69.4022;;;21.213
70.0997;;;21.213
70.5691;;;21.213
70.9843;;;21.213
71.093;;;21.213
71.4287;;;21.213
72.4047;;;21.213
72.544;;;21.213
72.6466;;;21.213
72.6484;;;21.213
72.7215;;;21.213
73.0096;;;21.213
73.3466;;;21.213
74.0072;;;21.213
74.0383;;;21.213
74.091;;;21.213
75.2145;;;21.213
75.48;;;21.213
75.7357;;;21.213
76.9249;;;21.213
76.9307;;;21.213
77.0759;;;21.213
77.2332;;;21.213
77.3443;;;21.213
77.3813;;;21.213
77.8585;;;21.213
77.8952;;;21.213
78.4014;;;21.213
78.6459;;;21.213
78.8137;;;21.213
78.8987;;;21.213
79.0532;;;21.213
80.3283;;;21.213
80.5725;;;21.213
80.763;;;21.213
80.98;;;21.213
81.0468;;;21.213
81.0565;;;21.213
81.9722;;;21.213
81.9927;;;21.213
82.6122;;;21.213
84.4874;;;21.213
84.5759;;;21.213
86.4311;;;21.213
86.6384;;;21.213
88.796;;;21.213
89.6972;;;21.213
89.786;;;21.213
90.2314;;;21.213
90.4129;;;21.213
90.5078;;;21.213
91.3708;;;21.213
91.7293;;;21.213
92.6578;;;21.213
93.5082;;;21.213
93.5629;;;21.213
93.62;;;21.213
94.3426;;;21.213
94.5216;;;21.213
94.53;;;21.213
94.6246;;;21.213
97.9572;;;21.213
98.2407;;;21.213
98.365;;;21.213
99.1291;;;21.213
100.1521;;;21.213
102.1104;;;21.213
102.1186;;;21.213
103.95;;;21.213
107.2374;;;21.213
110.3812;;;21.213
110.9255;;;21.213
114.0517;;;21.213
115.984;;;21.213
117.8554;;;21.213
118.055;;;21.213
119.4485;;;21.213
119.891;;;21.213
120.8088;;;21.213
121.9688;;;21.213
122.0409;;;21.213
125.9227;;;21.213
127.1243;;;21.213
128.8143;;;21.213
133.7033;;;21.213
135.168;;;21.213
137.73;;;21.213
144.852;;;21.213
162.9534;;;21.213
344;;;21.213
447;;;21.213
502.43;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;21.213
;;;32.8256
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;32.9624
;;;33.0302
;;;33.0302
;;;33.0302
;;;33.0302
;;;33.0302
;;;33.0302
;;;33.0302
;;;33.0302
;;;33.0302
;;;33.0302
;;;33.0302
;;;33.0302
;;;33.0302
;;;33.0984
;;;33.8175
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
;;;33.8203
